Country	region	col_plot	samples_names	Locality	Station	Grab	Distance_cage	Depth	AMBI	NSI	ISI	ITI	NQI1	Shannon
Norway	coast	5	FHF5-St3-Gr1-B	Farm_5	3	1	200	116	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St3-Gr1-C	Farm_5	3	1	200	116	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St3-Gr2-A	Farm_5	3	2	200	116	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St3-Gr2-B	Farm_5	3	2	200	116	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St3-Gr2-C	Farm_5	3	2	200	116	NA	NA	NA	NA	NA	NA
Norway	coast	5	FHF5-St4-Gr1-A	Farm_5	4	1	630	151	2.408922	23.976465	9.316667	67.8	0.7673336	4.6666027
Norway	coast	5	FHF5-St4-Gr1-B	Farm_5	4	1	630	151	2.408922	23.976465	9.316667	67.8	0.7673336	4.6666027
Norway	coast	5	FHF5-St4-Gr1-C	Farm_5	4	1	630	151	2.408922	23.976465	9.316667	67.8	0.7673336	4.6666027
Norway	coast	5	FHF5-St4-Gr2-A	Farm_5	4	2	630	151	1.694056	24.631376	10.113947	71.3	0.8230826	5.1719237
Norway	coast	5	FHF5-St4-Gr2-B	Farm_5	4	2	630	151	1.694056	24.631376	10.113947	71.3	0.8230826	5.1719237
Norway	coast	5	FHF5-St4-Gr2-C	Farm_5	4	2	630	151	1.694056	24.631376	10.113947	71.3	0.8230826	5.1719237
Norway	coast	5	FHF5-St5-Gr1-A	Farm_5	5	1	1530	168	1.30127	27.229417	9.946458	65.5	0.84029946	5.0975244
Norway	coast	5	FHF5-St5-Gr1-B	Farm_5	5	1	1530	168	1.30127	27.229417	9.946458	65.5	0.84029946	5.0975244
Norway	coast	5	FHF5-St5-Gr1-C	Farm_5	5	1	1530	168	1.30127	27.229417	9.946458	65.5	0.84029946	5.0975244
Norway	coast	5	FHF5-St5-Gr2-A	Farm_5	5	2	1530	168	1.389163	25.81523	10.006346	69.6	0.86064016	5.8410801
Norway	coast	5	FHF5-St5-Gr2-B	Farm_5	5	2	1530	168	1.389163	25.81523	10.006346	69.6	0.86064016	5.8410801
Norway	coast	5	FHF5-St5-Gr2-C	Farm_5	5	2	1530	168	1.389163	25.81523	10.006346	69.6	0.86064016	5.8410801
Norway	coast	6	FHF6-St1-Gr1-A	Farm_6	1	1	0	81	5.918073	7.038272	4.044	0.03401361	0.2306541	0.5497109
Norway	coast	6	FHF6-St1-Gr1-B	Farm_6	1	1	0	81	5.918073	7.038272	4.044	0.03401361	0.2306541	0.5497109
Norway	coast	6	FHF6-St1-Gr1-C	Farm_6	1	1	0	81	5.918073	7.038272	4.044	0.03401361	0.2306541	0.5497109
Norway	coast	6	FHF6-St1-Gr2-A	Farm_6	1	2	0	81	5.916667	7.030623	3.89	0.13605442	0.2339317	0.5605488
Norway	coast	6	FHF6-St1-Gr2-B	Farm_6	1	2	0	81	5.916667	7.030623	3.89	0.13605442	0.2339317	0.5605488
Norway	coast	6	FHF6-St1-Gr2-C	Farm_6	1	2	0	81	5.916667	7.030623	3.89	0.13605442	0.2339317	0.5605488
Norway	coast	6	FHF6-St1-Gr3D-A	Farm_6	1	3	0	81	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St1-Gr3D-B	Farm_6	1	3	0	81	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St1-Gr3D-C	Farm_6	1	3	0	81	NA	NA	NA	NA	NA	NA
Norway	coast	6	FHF6-St2-Gr1-A	Farm_6	2	1	50	NA	5.887656	7.158003	5.48	0	0.2147691	0.5676631
Norway	coast	6	FHF6-St2-Gr1-B	Farm_6	2	1	50	NA	5.887656	7.158003	5.48	0	0.2147691	0.5676631
Norway	coast	6	FHF6-St2-Gr1-C	Farm_6	2	1	50	NA	5.887656	7.158003	5.48	0	0.2147691	0.5676631
